name,pass_total,pass_1,fail_1,pass_2,fail_2,broken_data,,0
b4a92bfc_https___vk.com_.png,2,2,0,2,0,0,,1
b6455fac_https___hubspot.com_.png,23,23,0,23,0,0,,1
c90830d6_https___discord.com_.png,11,11,0,6,5,0,,1
cb3069a2_https___evri.com_.png,7,7,0,7,0,0,,1
d7261df6_https___whatsapp.com_.png,8,8,0,3,5,0,,1
dc1c805a_https___microsoft.com_.png,2,2,1,2,0,0,,1
dca84932_https___apple.com_.png,3,3,0,3,0,0,,1
de90f052_https___twitch.tv_.png,3,3,0,3,0,0,,1
e4febd1c_https___mercadolivre.com.br_.png,11,11,0,11,0,0,,1
ebd39f4e_https___dhl.com_.png,23,11,12,20,3,0,,1
f2a93d54_https___lego.com_.png,11,11,0,9,2,0,,1
f6cfd89e_https___gazzetta.it_.png,2,2,0,2,0,0,,1
f7c6af34_https___instacart.com_.png,2,2,0,1,13,0,,1
f90195f0_https___avito.ru_.png,5,5,0,5,0,0,,1
,959,915,45,829,211,4,,
,,0.9541188738,4.692387904,86.44421272,22.00208551,,,
